"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What are the zeros of f(x) = (x − 3)(x + 5)?","3 and −5","−3 and 5","3 and 5","−3 and −5",15,1,,,,,,,,,,,,,,,,,,
2,"What are the zeros of g(x) = x(x − 4)(x + 2)?","0, 4, −2","0, −4, 2","4, −2","0, 4, 2",15,1,,,,,,,,,,,,,,,,,,
3,"If (x + 6) is a factor of a polynomial, what is the zero?",6,−6,0,1/6,15,2,,,,,,,,,,,,,,,,,,
4,"If (x − 9) is a factor of a polynomial, what is the zero?",−9,9,0,1/9,15,2,,,,,,,,,,,,,,,,,,
5,"What are the zeros of f(x) = 2x(x − 7)?","2 and 7","0 and 7","−2 and 7","0 and −7",15,2,,,,,,,,,,,,,,,,,,
6,"Factor completely: x² − 25","(x − 5)(x − 5)","(x + 5)(x + 5)","(x − 5)(x + 5)","(x − 25)(x + 1)",20,3,,,,,,,,,,,,,,,,,,
7,"Factor completely: x² − 49","(x − 7)(x + 7)","(x − 7)²","(x + 7)²","(x − 49)(x + 1)",20,1,,,,,,,,,,,,,,,,,,
8,"Factor completely: x³ − 9x","x(x − 9)","x(x − 3)(x + 3)","x(x² − 9x)","x²(x − 9)",25,2,,,,,,,,,,,,,,,,,,
9,"Factor completely: x³ + 2x² − 8x","x(x + 4)(x − 2)","x(x − 4)(x + 2)","x(x + 8)(x − 1)","x(x² + 2x − 8)",25,1,,,,,,,,,,,,,,,,,,
10,"Factor completely: x³ − 6x² + 8x","x(x − 2)(x − 4)","x(x + 2)(x + 4)","x(x − 6)(x − 2)","x(x² − 6x + 8)",25,1,,,,,,,,,,,,,,,,,,
11,"The zeros of a function are x = −3 and x = 2. How many intervals do they create on the number line?",2,3,4,5,15,2,,,,,,,,,,,,,,,,,,
12,"The zeros of a function are x = −1, x = 0, and x = 4. How many intervals on the number line?",2,3,4,5,15,3,,,,,,,,,,,,,,,,,,
13,"Zeros at x = −5 and x = 1. Which list shows ALL the intervals?","(−5, 1)","(−∞, −5) and (1, ∞)","(−∞, −5), (−5, 1), (1, ∞)","(−∞, 1), (1, 5)",25,3,,,,,,,,,,,,,,,,,,
14,"To check the sign of f(x) = (x − 2)(x + 3) on the interval (−∞, −3), a test point could be…",x = −5,x = 0,x = 3,x = 10,20,1,,,,,,,,,,,,,,,,,,
15,"To check the sign of f(x) = x(x − 4) on (0, 4), a test point could be…",x = −1,x = 2,x = 5,x = 10,20,2,,,,,,,,,,,,,,,,,,
16,"What is the sign of f(x) = (x − 1)(x − 3) at x = 2?",Positive,Negative,Zero,Undefined,20,2,,,,,,,,,,,,,,,,,,
17,"If f(x) = x(x − 4), what are the zeros of −f(x)?","0 and 4","0 and −4","−0 and 4","No real zeros",20,1,,,,,,,,,,,,,,,,,,
18,"Compare f(x) = x(x − 2)(x + 3) and g(x) = −x(x − 2)(x + 3). The zeros are…","Identical","Opposite signs","Different entirely","Only two the same",20,1,,,,,,,,,,,,,,,,,,
19,"If the leading coefficient of an ODD-degree polynomial is NEGATIVE, the right end of the graph points…",Up,Down,Flat,It depends on the zeros,20,2,,,,,,,,,,,,,,,,,,
20,"If the leading coefficient of an ODD-degree polynomial is POSITIVE, the right end of the graph points…",Up,Down,Flat,Left,20,1,,,,,,,,,,,,,,,,,,
