"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,What are the zeros of f(x) = x(x − 3)(x + 5)?,"0, 3, −5","0, −3, 5","3, −5","0, 3, 5",20,1,,,,,,,,,,,,,,,,,,
2,What are the zeros of g(x) = (x − 1)(x + 4)?,"−1, 4","1, −4","−1, −4","1, 4",15,2,,,,,,,,,,,,,,,,,,
3,"If (x − 7) is a factor of a function, what is the zero?",−7,7,0,1/7,15,2,,,,,,,,,,,,,,,,,,
4,What are the zeros of h(x) = x²(x + 2)?,0 and −2,0 and 2,−2 only,"0, 0, and −2",20,1,,,,,,,,,,,,,,,,,,
5,What are the zeros of f(x) = 3x(x − 4)?,"3, 4","0, 4","−3, −4","0, −4",15,2,,,,,,,,,,,,,,,,,,
6,The zeros of a function are −3 and 2. How many intervals do they create on the number line?,2,3,4,5,20,2,,,,,,,,,,,,,,,,,,
7,"The zeros of a function are −1, 0, and 4. How many intervals on the number line?",3,4,5,2,20,2,,,,,,,,,,,,,,,,,,
8,Zeros at x = −5 and x = 1. Which list shows ALL the intervals?,"(−5, 1)","(−∞, −5) and (1, ∞)","(−∞, −5), (−5, 1), (1, ∞)","(−∞, 1), (1, 5)",25,3,,,,,,,,,,,,,,,,,,
9,"If a function has 4 zeros, how many intervals are on the number line?",3,4,5,6,15,3,,,,,,,,,,,,,,,,,,
10,Factor: x² − 25,(x + 5)(x − 5),(x − 5)(x − 5),(x + 25)(x − 1),Cannot be factored,15,1,,,,,,,,,,,,,,,,,,
11,Factor: x² − 16,(x − 4)(x − 4),(x + 4)(x − 4),(x + 8)(x − 8),(x − 16)(x + 1),15,2,,,,,,,,,,,,,,,,,,
12,Factor: 4x² − 9,(4x + 9)(4x − 9),(2x + 3)(2x − 3),(2x − 9)(2x + 1),(4x + 3)(x − 3),20,2,,,,,,,,,,,,,,,,,,
